post_napoleonic_thought;Post-Napoleonic Thought;Pensée post-napoléonienne;Postnapoleonischer Gedanke;;Pensamiento post-napoleónico;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
operational_destruction_doctrine;Operational Destruction Doctrine;Doctrine de destruction opérationnelle;Operative Vernichtungsdoktrin;;Doctrina de destrucción operacional;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
operational_destruction_doctrine_desc;Operational destruction called for airpower to focus on the bombing of the infrastructure that supported the enemy's field units, in order to prevent their resupply and redeployment, thus decreasing their mobility and rendering them incapable of responding to friendly offensives launched against enemy weak points.;L'opération de destruction impliquait que la puissance aérienne se concentre sur le bombardement de l'infrastructure qui appuyait les unités ennemies sur le terrain, afin d'empêcher leur ravitaillement et leur redéploiement, diminuant ainsi leur mobilit?et de les rendre incapables de répondre aux offensives lancées contre leurs points faibles. ;Die operative Vernichtungsdoktrin forderte die Fokussierung der Luftwaffe auf die Bombardierung der die feindlichen Bodentruppen unterstützenden Infrastruktur, um deren Nachschubversorgung und Neueinsatz zu verhindern. Damit sollte die Mobilität der Feindeinheiten eingeschränkt und sie der Fähigkeit beraubt werden, Offensiven der eigenen Truppen gegen Schwachstellen in den feindlichen Linien zu abzuwehren.;;La doctrina de la destrucción operacional se centraba en el uso de la fuerza aérea para bombardear la infraestructura de apoyo de las unidades militares del enemigo, para impedir su reabastecimiento y redespliegue y as?reducir su movilidad hasta incapacitarlas para responder a las ofensivas contra sus puntos débiles.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strategic_destruction_doctrine;Strategic Destruction Doctrine;Doctrine de destruction stratégique;Strategische Vernichtungsdoktrin;;Doctrina de la destrucción estratégica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strategic_destruction_doctrine_desc;Strategic destruction called for airpower to focus on the bombing of enemy cities and factories, in order to not only destroy the enemy's ability to produce the weaponry of war, but also to break the will of the enemy populace, thus leading to increased pressure on the enemy government to surrender.;La destruction stratégique impliquait que la puissance aérienne se concentre sur le bombardement des villes ennemies et de ses usines, afin de non seulement détruire la capacit?adverse ?produire les armes de guerre, mais aussi pour briser la volont?de son peuple, ce qui entraînait une pression accrue sur les gouvernements ennemis pour qu'ils se rendent. ;Die strategische Vernichtungsdoktrin forderte die Fokussierung der Luftwaffe auf die Bombardierung feindlicher Städte und Fabriken, um nicht nur die feindliche Produktionsfähigkeit von Kriegswaffen zu zerstören, sondern auch um den Willen der feindlichen Bevölkerung zu brechen. Das Ziel dieser Doktrin war, steigenden Druck auf die feindliche Regierung auszuüben und deren Kapitulation zu erzwingen.;;La doctrina de la destrucción estratégica propugna el uso de la fuerza aérea para bombardear las ciudades y fábricas enemigas, a fin de destruir la capacidad del enemigo para producir armas de guerra, acabar con la voluntad combativa de su población y obligar a su gobierno a rendirse.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_command_principle;The Command Principle;Hiérarchie militaire;Das Kommandoprinzip;;El Principio de Mando;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_command_principle_desc;The Command Principle;Hiérarchie militaire;Das Kommandoprinzip;;El Principio de Mando;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_professionalism;Army Professionalism;Professionnalisme;Berufsoffiziere;;Profesionalismo militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_professionalism_desc;Army Professionalism;Professionnalisme;Berufsoffiziere;;Profesionalismo militar;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_academic_training;Academic Training;École navale;Akademische Ausbildung;;Formación académica;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_academic_training_desc;This meant that to become an officer it was no longer enough to be of gentle blood. You also had to attend a formal education which could at best be as good as any college. This was one of the most important causes behind the professionalization of the officers corps.;Il ne suffisait plus d'avoir le sang bleu pour devenir officier. Il fallait également suivre une formation spéciale qui pouvait au mieux égaler celle d'une universit? Ceci a ét?l'un des éléments majeurs de la professionnalisation du corps des officiers.;Dies bedeutete, dass es für eine Offizierslaufbahn nicht länger ausreichte, aus einer Adelsfamilie zu stammen. Vielmehr musste man auch über eine formelle Ausbildung verfügen, die möglichst Universitätsniveau hatte. Dies war einer der wichtigsten Hintergründe für die Professionalisierung des Offizierskorps.;;Esto suponía que para convertirse en oficial ya no bastaba con ser de sangre noble. También había que recibir una educación formal que podía ser tan buena como la de cualquier universidad. Ésta fue una de las causas más importantes que se hallaban tras la profesionalización de los cuerpos de oficiales.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
field_training;Field Training;Entraînement sur le terrain;Ausbildung im Feld;;Entren. de campo;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
field_training_desc;Earlier on training meant march training and basic drill, but at this point full units trained interoperationability out in the field acting as if their brigade or division was at a state of war. This training vastly increased the combat performance of units.;L'entraînement, qui se résumait ?la marche et au maniement d'arme, a évolu?pour laisser place ?des exercices inter-armes plaçant des régiments ou des divisions en situation de guerre. Ceci a considérablement accru les performances au combat des unités.;Anfangs bedeutete Grundausbildung noch Marschieren und einfachen Drill, aber zu diesem Zeitpunkt übten ganze Einheiten die Gefechtskooperation im Feld unter realen Kampfbedingungen. Dieses Training steigert die Gefechtsleistung von Einheiten beträchtlich.;;Antes, el entrenamiento significaba marchas e instrucción básica, pero ahora todas las unidades entrenaban la operatividad conjunta en el campo, actuando como si su brigada o división estuviera realmente en guerra. Esta formación aument?notablemente el rendimiento del combate de las unidades.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_societal_status;Societal Status;Statut social;Gesellschaftlicher Status;;Categoría social;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_societal_status_desc;At this time the professionalization of the officer corps and the fact that the majority of it consisted of middle class men rather than gentry increased its societal status.;La professionnalisation et le fait que les officiers provenaient majoritairement des classes moyennes et non plus de la noblesse, ont amélior?le statut social des officiers.;Zu diesem Zeitpunkt erhöhte die Professionalisierung des Offizierskorps und die Tatsache, dass die Mehrheit seiner Angehörigen aus der Mittelklasse stammten, den gesellschaftlichen Status der Offiziere.;;En esta época, la profesionalización de los cuerpos de oficiales y el hecho de que su mayoría estuviera compuesta por hombres de clase media en lugar de nobles mejoraron su categoría social.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_decision_making;Army Decision Making;Prise de décision;Armee-Entscheidungsfindung;;Toma de decisiones en el ejército;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_decision_making_desc;Army Decision Making;Prise de décision;Armee-Entscheidungsfindung;;Toma de decisiones en el ejército;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_independent_command;Independent Command;Initiative de commandement;Befehlsunabhängigkeit;;Mando independiente;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_independent_command_desc;The old rules said that an officer breaking an order of a higher officer was to be brought to court martial. This made decision-making very indecisive. At this point regulations said that an officer was to carry on the core idea of the order of his superior officer, but how was at his own discretion.;Les anciennes règles précisent qu'un officier enfreignant les ordres d'un officier supérieur devait passer en cour martiale. Cela rend la prise de décision très floue. ?ce stade, les réglements disent que les actes d'un officier doivent être jugés par rapport ?l'idée de base du commandement de son supérieur, mais la façon dont cela est fait relève de sa propre discrétion.;Das alte Regelwerk besagte, dass ein Offizier, der die Befehle eines Vorgesetzten missachtete, vor das Kriegsgericht zu bringen war. Dies führte zu äußerst unentschlossenen Entscheidungsfindungen. Zu diesem Zeitpunkt besagte das Regelwerk, dass ein Offizier zwar den Befehlskern eines Vorgesetzten ausführen musste, die Art und Weise aber ihm selbst überlassen war.;;Las antiguas normas decían que, si un oficial incumplía una orden de un oficial superior, tenía que enfrentarse a un consejo de guerra. Eso hacía que la toma de decisiones fuera muy poco concluyente. En ese momento, las reglas establecieron que un oficial tenía que cumplir la idea central de la orden de su oficial superior, pero cómo hacerlo quedaba a su elección.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_continuous_issuing_of_orders;Continuous Issuing of Orders;Continuit?des ordres;Kontinuierliche Befehlserteilungen;;Emisión constante de órdenes;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_continuous_issuing_of_orders_desc;By using a staff system even at low echelon units, leaders were enabled to give orders continuously and accurately. ;Grâce ?l'existence d'états-majors mêmes aux échelons inférieurs, le commandant en chef pouvait donner en permanence des ordres précis. ;Durch die Verwendung eines Stabssystems selbst bei niederrangigen Einheiten konnte ein militärischer Anführer seine Befehle kontinuierlich und präzise erteilen.;;El uso de un sistema de Estado Mayor en las unidades de escalones inferiores posibilitaba que el líder diera órdenes continuas y precisas. ;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_delegated_power;Delegated Power;Délégation de pouvoir;Delegierte Befehlsgewalt;;Delegar el poder;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_delegated_power_desc;This meant that an officer could temporary delegate authority to one or more of his subordinates when it came to clearly defined areas of responsibilities. This meant that he did not have to control everything himself at all times and that he could focus on the important questions.;Cela signifie qu'un officier supérieur peut déléguer des pouvoirs temporaires ?un ou plusieurs de ses subordonnés en définissant clairement les domaines de responsabilités. Ainsi, il n'a pas ?tout contrôler lui-même en tout temps et il peut se concentrer sur les questions importantes. ;Dies bedeutete, dass ein Offizier einem oder mehreren Untergebenen vorübergehend die Befehlsgewalt für klar definierte Aufgabengebiete übergeben konnte. Dies bedeutete, dass er nicht ständig alles selbst kontrollieren musste und sich auf die wichtigsten Probleme konzentrieren konnte.;;Un oficial podía delegar su autoridad temporalmente en uno o más de sus subordinados cuando llegaba a áreas de responsabilidad claramente definidas. Esto significaba que no tenía que controlarlo todo él mismo en todo momento y que podía concentrarse en cuestiones más importantes.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_risk_management;Army Risk Management;Gestion des risques;Armee-Risikomanagement;;Supervisión de riesgos en el ejército;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_risk_management_desc;Army Risk Management;Gestion des risques;Armee-Risikomanagement;;Supervisión de riesgos en el ejército;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_wargames;Wargames;Kriegspiel (jeux de guerre);Manöver;;Juegos de guerra;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
army_wargames_desc;The wargames were staff training. It meant playing out a situation, a fictive war of conflict, and setting to staffs against each other and training them in order writing, communications and planning. At some degree it also trained their tactical and operational skill.;Les wargames ou mises en situation des équipes. C'est ?dire jouer une situation, un conflit fictif, et mettre les états-majors en guerre les uns contre les autres, s'entrainant ?donner par écrits : les ordres, les communications et la planification. Dans une certaine mesure, cela permet de renforcer également les compétences tactiques et opérationnelles. ;Diese Manöver simulierten für die Ausbildung von Stabsoffizieren fiktive Konflikte, in denen sie gegeneinander antraten. Dabei wurden sie im Verfassen von Befehlen, Kommunizieren und Planen unterwiesen. Auf gewisse Weise wurden dabei auch ihre taktischen und operativen Fähigkeiten ausgebildet.;;Los juegos de guerra eran una instrucción destinada al Estado Mayor. Consistía en recrear una situación, una guerra o conflicto ficticio, y enfrentar a los mandos entre s? entrenándolos en la escritura de órdenes, comunicaciones y elaboración de planes. También se entrenaba, hasta cierto grado, tácticas y técnicas operativas.;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
